movie_id,title,clean_title,year,genres,tags,rating_count,rating_mean,imdb_id,tmdb_id,text
1,Toy Story (1995),Toy Story,1995,Adventure Animation Children Comedy Fantasy,pixar|fun,215,3.9209,0114709,862,Toy Story Adventure Animation Children Comedy Fantasy pixar fun
2,Jumanji (1995),Jumanji,1995,Adventure Children Fantasy,fantasy|magic board game|Robin Williams|game,110,3.4318,0113497,8844,Jumanji Adventure Children Fantasy fantasy magic board game Robin Williams game
3,Grumpier Old Men (1995),Grumpier Old Men,1995,Comedy Romance,moldy|old,52,3.2596,0113228,15602,Grumpier Old Men Comedy Romance moldy old
4,Waiting to Exhale (1995),Waiting to Exhale,1995,Comedy Drama Romance,,7,2.3571,0114885,31357,Waiting to Exhale Comedy Drama Romance
5,Father of the Bride Part II (1995),Father of the Bride Part II,1995,Comedy,pregnancy|remake,49,3.0714,0113041,11862,Father of the Bride Part II Comedy pregnancy remake
6,Heat (1995),Heat,1995,Action Crime Thriller,,102,3.9461,0113277,949,Heat Action Crime Thriller
7,Sabrina (1995),Sabrina,1995,Comedy Romance,remake,54,3.1852,0114319,11860,Sabrina Comedy Romance remake
8,Tom and Huck (1995),Tom and Huck,1995,Adventure Children,,8,2.875,0112302,45325,Tom and Huck Adventure Children
9,Sudden Death (1995),Sudden Death,1995,Action,,16,3.125,0114576,9091,Sudden Death Action
10,GoldenEye (1995),GoldenEye,1995,Action Adventure Thriller,,132,3.4962,0113189,710,GoldenEye Action Adventure Thriller
11,"American President, The (1995)","American President, The",1995,Comedy Drama Romance,politics|president,70,3.6714,0112346,9087,"American President, The Comedy Drama Romance politics president"
12,Dracula: Dead and Loving It (1995),Dracula: Dead and Loving It,1995,Comedy Horror,,19,2.4211,0112896,12110,Dracula: Dead and Loving It Comedy Horror
13,Balto (1995),Balto,1995,Adventure Animation Children,,8,3.125,0112453,21032,Balto Adventure Animation Children
14,Nixon (1995),Nixon,1995,Drama,politics|president,18,3.8333,0113987,10858,Nixon Drama politics president
15,Cutthroat Island (1995),Cutthroat Island,1995,Action Adventure Romance,,13,3.0,0112760,1408,Cutthroat Island Action Adventure Romance
16,Casino (1995),Casino,1995,Crime Drama,Mafia,82,3.9268,0112641,524,Casino Crime Drama Mafia
17,Sense and Sensibility (1995),Sense and Sensibility,1995,Drama Romance,Jane Austen,67,3.7761,0114388,4584,Sense and Sensibility Drama Romance Jane Austen
18,Four Rooms (1995),Four Rooms,1995,Comedy,,20,3.7,0113101,5,Four Rooms Comedy
19,Ace Ventura: When Nature Calls (1995),Ace Ventura: When Nature Calls,1995,Comedy,,88,2.7273,0112281,9273,Ace Ventura: When Nature Calls Comedy
20,Money Train (1995),Money Train,1995,Action Comedy Crime Drama Thriller,,15,2.5,0113845,11517,Money Train Action Comedy Crime Drama Thriller
21,Get Shorty (1995),Get Shorty,1995,Comedy Crime Thriller,Hollywood,89,3.4944,0113161,8012,Get Shorty Comedy Crime Thriller Hollywood
22,Copycat (1995),Copycat,1995,Crime Drama Horror Mystery Thriller,serial killer,36,3.2222,0112722,1710,Copycat Crime Drama Horror Mystery Thriller serial killer
23,Assassins (1995),Assassins,1995,Action Crime Thriller,,16,3.125,0112401,9691,Assassins Action Crime Thriller
24,Powder (1995),Powder,1995,Drama Sci-Fi,,28,3.125,0114168,12665,Powder Drama Sci-Fi
25,Leaving Las Vegas (1995),Leaving Las Vegas,1995,Drama Romance,alcoholism,76,3.625,0113627,451,Leaving Las Vegas Drama Romance alcoholism
26,Othello (1995),Othello,1995,Drama,Shakespeare,13,3.5,0114057,16420,Othello Drama Shakespeare
27,Now and Then (1995),Now and Then,1995,Children Drama,,9,3.3333,0114011,9263,Now and Then Children Drama
28,Persuasion (1995),Persuasion,1995,Drama Romance,In Netflix queue|Jane Austen,11,4.2273,0114117,17015,Persuasion Drama Romance In Netflix queue Jane Austen
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)","City of Lost Children, The (Cité des enfants perdus, La)",1995,Adventure Drama Fantasy Mystery Sci-Fi,kidnapping,38,4.0132,0112682,902,"City of Lost Children, The (Cité des enfants perdus, La) Adventure Drama Fantasy Mystery Sci-Fi kidnapping"
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Shanghai Triad (Yao a yao yao dao waipo qiao),1995,Crime Drama,,3,3.0,0115012,37557,Shanghai Triad (Yao a yao yao dao waipo qiao) Crime Drama
31,Dangerous Minds (1995),Dangerous Minds,1995,Drama,high school|teacher,38,3.1842,0112792,9909,Dangerous Minds Drama high school teacher
