movie_id,title,clean_title,year,genres,tags,rating_count,rating_mean,imdb_id,tmdb_id,original_language,origin_countries,text
tmdb-299536,Avengers: Infinity War (2018),Avengers: Infinity War,2018,Adventure Action Science Fiction,,32169,8.237,,299536,en,US,"Avengers: Infinity War As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain. Adventure Action Science Fiction"
tmdb-337167,Fifty Shades Freed (2018),Fifty Shades Freed,2018,Drama Romance,,8372,6.671,,337167,en,US,"Fifty Shades Freed Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins. Drama Romance"
tmdb-324857,Spider-Man: Into the Spider-Verse (2018),Spider-Man: Into the Spider-Verse,2018,Animation Action Adventure Science Fiction,,17335,8.393,,324857,en,US,"Spider-Man: Into the Spider-Verse Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension. Animation Action Adventure Science Fiction"
tmdb-499546,We (2018),We,2018,Crime Drama History,,118,5.4,,499546,nl,BE|NL,"We During a scorching summer in a Belgian-Dutch border village, eight teenagers play games of discovery to break the listless monotony. They challenge each other and themselves and pretty soon, their sexual curiosity starts to blur the lines between right and wrong. As innocence is crushed in depraved games and sexual exploitation, the teenagers soon turn into ruthless predators. Crime Drama History"
tmdb-515916,Girl (2018),Girl,2018,Drama,,765,7.162,,515916,nl,BE|NL,Girl A promising teenage dancer enrolls at a prestigious ballet school while grappling with her gender dysphoria. Drama
tmdb-284054,Black Panther (2018),Black Panther,2018,Action Adventure Science Fiction,,23556,7.364,,284054,en,US,"Black Panther King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war. Action Adventure Science Fiction"
tmdb-490132,Green Book (2018),Green Book,2018,Drama Comedy History,,12938,8.226,,490132,en,US,"Green Book Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book. Drama Comedy History"
tmdb-333339,Ready Player One (2018),Ready Player One,2018,Adventure Action Science Fiction,,17006,7.588,,333339,en,US,"Ready Player One When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune. Adventure Action Science Fiction"
tmdb-383498,Deadpool 2 (2018),Deadpool 2,2018,Action Comedy Adventure,,19296,7.5,,383498,en,US,Deadpool 2 Wisecracking mercenary Deadpool battles the evil and powerful Cable and other bad guys to save a boy's life. Action Comedy Adventure
tmdb-493922,Hereditary (2018),Hereditary,2018,Horror Mystery Thriller,,8651,7.294,,493922,en,US,"Hereditary Following the death of the Leigh family matriarch, Annie and her children uncover disturbing secrets about their heritage. Their daily lives are not only impacted, but they also become entangled in a chilling fate from which they cannot escape, driving them to the brink of madness. Horror Mystery Thriller"
