movie_id,title,clean_title,year,genres,tags,rating_count,rating_mean,imdb_id,tmdb_id,text
tmdb-1084244,Toy Story 5 (2026),Toy Story 5,2026,Animation Family Comedy Adventure,,339,7.456,,1084244,"Toy Story 5 When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime. Animation Family Comedy Adventure"
tmdb-1339713,Obsession (2026),Obsession,2026,Horror Thriller,,1005,7.9,,1339713,"Obsession After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price. Horror Thriller"
tmdb-1275779,Disclosure Day (2026),Disclosure Day,2026,Science Fiction Thriller,,693,6.7,,1275779,"Disclosure Day A cybersecurity expert becomes a whistleblower after uncovering secrets about aliens, putting him on the run from a corporation. Meanwhile, a meteorologist experiencing strange phenomena joins forces with him to prove there's life beyond our understanding. Science Fiction Thriller"
tmdb-936075,Michael (2026),Michael,2026,Music Drama,,3076,8.703,,936075,"Michael The story of Michael Jackson, one of the most influential artists the world has ever known, and his life beyond the music. His journey from the discovery of his extraordinary talent as the lead of the Jackson Five, to the visionary artist whose creative ambition fueled a relentless pursuit to become the biggest entertainer in the world, highlighting both his life off-stage and some of the most iconic performances from his early solo career. Music Drama"
tmdb-1081003,Supergirl (2026),Supergirl,2026,Action Adventure Science Fiction,,185,6.181,,1081003,"Supergirl When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice. Action Adventure Science Fiction"
tmdb-1127384,Deep Water (2026),Deep Water,2026,Thriller Horror,,65,6.1,,1127384,Deep Water A group of international passengers on a flight from Los Angeles to Shanghai is forced to make an emergency landing in shark-infested waters. The terrified group is forced to work together and overcome their differences if they hope to escape their sinking plane and the frenzy of sharks drawn to the wreckage. Thriller Horror
tmdb-1301421,The Sheep Detectives (2026),The Sheep Detectives,2026,Comedy Crime Mystery Family,,428,7.768,,1301421,"The Sheep Detectives George Hardy is a shepherd who reads detective novels to his beloved sheep every night, assuming they can't possibly understand. But when a mysterious incident disrupts life on the farm, the sheep realize they must become the detectives. As they follow the clues and investigate human suspects, they prove that even sheep can be brilliant crime-solvers. Comedy Crime Mystery Family"
tmdb-931285,Mortal Kombat II (2026),Mortal Kombat II,2026,Action Fantasy Adventure,,1708,7.981,,931285,"Mortal Kombat II The fan favorite champions—now joined by Johnny Cage himself—are pitted against one another in the ultimate, no-holds barred, gory battle to defeat the dark rule of Shao Kahn that threatens the very existence of the Earthrealm and its defenders. Action Fantasy Adventure"
tmdb-1083381,Backrooms (2026),Backrooms,2026,Horror Mystery Science Fiction,,756,6.9,,1083381,Backrooms A strange doorway appears in the basement of a furniture showroom. Horror Mystery Science Fiction
tmdb-1523145,Your Heart Will Be Broken (2026),Your Heart Will Be Broken,2026,Romance,,104,6.995,,1523145,"Your Heart Will Be Broken High school student Polina is saved from bullying at her new school and makes a deal with the main bully Bars: he must pretend to be her boyfriend and protect her, and she must do everything he says. During this game, the couple develops real feelings, but her family and classmates have reasons to separate the lovers. Romance"
tmdb-1239134,Bhooth Bangla (2026),Bhooth Bangla,2026,Horror Comedy,,41,5.463,,1239134,"Bhooth Bangla A man inherits a palace in rural Mangalpur and plans his sister's wedding there, but strange supernatural events and panicked locals force him to investigate the property's mysterious past. Horror Comedy"
tmdb-1273221,Scary Movie (2026),Scary Movie,2026,Comedy Horror,,363,5.544,,1273221,"Scary Movie Twenty-six years after outrunning a suspiciously familiar masked killer, the Core Four are back in the killer's crosshairs and no horror movie IP is safe. Comedy Horror"
tmdb-1226863,The Super Mario Galaxy Movie (2026),The Super Mario Galaxy Movie,2026,Family Comedy Adventure Fantasy Animation,,2843,8.229,,1226863,"The Super Mario Galaxy Movie Having thwarted Bowser's previous plot to marry Princess Peach, Mario and Luigi now face a fresh threat in Bowser Jr., who is determined to liberate his father from captivity and restore the family legacy. Alongside companions new and old, the brothers travel across the stars to stop the young heir's crusade. Family Comedy Adventure Fantasy Animation"
tmdb-614945,Voicemails for Isabelle (2026),Voicemails for Isabelle,2026,Romance Comedy,,290,8.279,,614945,"Voicemails for Isabelle A young woman's hilariously confessional voicemails to her late sister are unknowingly redirected to a stranger, who begins to fall in love from afar. Romance Comedy"
tmdb-1228710,The Mandalorian and Grogu (2026),The Mandalorian and Grogu,2026,Action Adventure Science Fiction,,527,6.7,,1228710,"The Mandalorian and Grogu The evil Empire has fallen, and Imperial warlords remain scattered throughout the galaxy. As the fledgling New Republic works to protect everything the Rebellion fought for, they have enlisted the help of legendary Mandalorian bounty hunter Din Djarin and his young apprentice Grogu. Action Adventure Science Fiction"
